id_stasiun,a_pm10,a_pm25,a_so2,a_co,a_o3,a_no2,a_hc,nama,kota,provinsi,p3e,time_z,index_ISPU,tanggal,Waktu
DENPASAR,18.67,19.79,41.65,1409.31,44.17,87.23,16.3,Denpasar Lumintang,Denpasar,Bali,BALI DAN NUSA TENGGARA,WITA,55.0,2024-02-27,11:00:00
PONTIANAK,20.54,19.33,21.81,479.46,41.88,28.85,0.0,Pontianak Tenggara,Pontianak,Kalimantan Barat,KALIMANTAN,WIB,55.0,2024-02-27,11:00:00
PALEMBANG,0.0,19.54,26.56,1144.46,21.31,22.0,34.31,Palembang Bukit Kecil,Palembang,Sumatera Selatan,SUMATERA,WIB,55.0,2024-02-27,11:00:00
JAMBI,14.02,17.76,29.09,565.96,17.33,42.89,13.54,Jambi Paal Lima,Jambi,Jambi,SUMATERA,WIB,53.0,2024-02-27,11:00:00
ACEH,19.53,18.0,21.83,267.53,64.47,51.19,21.38,Banda Aceh Syiah Kuala,Banda Aceh,NAD,SUMATERA,WIB,53.0,2024-02-27,11:00:00
KABUPATEN_INDRAGIRIHILIR,18.67,16.77,8.92,571.17,29.0,41.56,0.26,Kabupaten Indragiri Hilir,Kabupaten Indragiri Hilir,Riau,SUMATERA,WIB,52.0,2024-02-27,11:00:00
MANADO,27.21,17.15,16.85,138.65,5.27,2.0,5.0,Manado Wanea,Manado,Sulawesi Utara,SULAWESI_MALUKU,WITA,52.0,2024-02-27,11:00:00
MANOKWARI,32.33,15.02,52.12,1825.06,51.21,81.21,5.88,Manokwari Gn. Sowi,Manokwari,Papua Barat,PAPUA,WIT,51.0,2024-02-27,13:00:00
GORONTALO,27.29,16.35,24.0,1115.46,20.0,22.65,26.44,Gorontalo Taman Kota,Gorontalo,Gorontalo,SULAWESI_MALUKU,WITA,51.0,2024-02-27,12:00:00
SERANG,22.77,16.58,31.27,1277.48,52.17,24.33,28.75,Serang Sumurpecung,Serang,Banten,JAWA,WIB,51.0,2024-02-27,11:00:00
KABUPATEN_SIAK,27.17,15.17,34.52,307.17,108.94,28.62,4.82,Siak,Siak,Riau,SUMATERA,WIB,49.0,2024-02-27,11:00:00
BANDUNG,36.92,0.0,7.17,272.92,11.75,0.94,42.33,Bandung Cihapit,Bandung,Jawa Barat,JAWA,WIB,47.0,2024-02-27,11:00:00
MAMUJU,6.08,2.4,30.75,1153.44,16.5,29.19,39.94,Mamuju Ahmad Kirang,Mamuju,Sulawesi Barat,SULAWESI_MALUKU,WITA,44.0,2024-02-27,12:00:00
